net,length_um
_0593_,14.61µm
_0698_,14.61µm
_0868_,14.61µm
u_clock_div.counter\[3\],14.61µm
_0242_,14.56µm
_0315_,14.56µm
_0581_,14.56µm
_0556_,14.2µm
_0579_,14.2µm
out_cic[10],14.18µm
out_cic[1],14.18µm
out_cic[4],14.18µm
out_cic[6],14.18µm
_0286_,14.1µm
_0396_,14.1µm
_0561_,14.1µm
_0730_,14.1µm
_0040_,14.05µm
_0047_,14.05µm
_0128_,14.05µm
_0186_,14.05µm
_0218_,14.05µm
_0269_,14.05µm
_0755_,14.05µm
_0975_,14.05µm
_0978_,14.05µm
u_cas_diff.u_diff2.in_min1\[21\],14.05µm
_0066_,14µm
_0267_,14µm
_0535_,14µm
_0562_,14µm
_0576_,14µm
_0603_,14µm
u_cas_diff.u_diff1.in_min1\[19\],14µm
_0196_,13.59µm
_0287_,13.54µm
_0013_,13.49µm
_0037_,13.49µm
_0430_,13.49µm
_0733_,13.49µm
_0822_,13.49µm
_0969_,13.49µm
net12,13.49µm
_0134_,13.44µm
_0358_,13.44µm
_0704_,13.44µm
_0150_,13.16µm
out_cic[8],13.06µm
_0127_,12.98µm
_0160_,12.98µm
_0516_,12.98µm
_0526_,12.98µm
_0713_,12.98µm
_1013_,12.98µm
_0009_,12.93µm
_0095_,12.93µm
_0221_,12.93µm
_0331_,12.93µm
_0332_,12.93µm
_0585_,12.93µm
_0892_,12.93µm
net6,12.93µm
net9,12.93µm
net10,12.93µm
_0310_,12.88µm
_0436_,12.88µm
_0454_,12.88µm
_0613_,12.88µm
_0715_,12.88µm
u_cas_diff.u_diff3.in_min1\[1\],12.88µm
_0289_,12.37µm
_0665_,12.37µm
_0784_,12.37µm
u_cas_diff.u_diff1.in_min1\[24\],12.37µm
u_cas_diff.u_diff2.in_min1\[12\],12.37µm
_0831_,12.32µm
_1033_,12.32µm
u_cas_diff.u_diff1.in_min1\[3\],11.96µm
out_cic[0],11.94µm
_0479_,11.91µm
u_cas_diff.u_diff2.in_min1\[15\],11.91µm
_0333_,11.86µm
_0634_,11.86µm
_0016_,11.81µm
_0058_,11.81µm
_0060_,11.81µm
_0063_,11.81µm
_0901_,11.81µm
_0187_,11.76µm
_0325_,11.76µm
_0442_,11.76µm
_0500_,11.76µm
_0522_,11.76µm
_0554_,11.76µm
_0606_,11.76µm
_0825_,11.76µm
_0258_,11.3µm
_0565_,11.3µm
_0796_,11.3µm
_0841_,11.3µm
_0036_,11.25µm
_0125_,11.25µm
_0142_,11.25µm
_0167_,11.25µm
_0374_,11.25µm
_0459_,11.25µm
_0518_,11.25µm
_0616_,11.25µm
_0756_,11.25µm
_0963_,11.25µm
net3,11.25µm
net7,11.25µm
net8,11.25µm
net11,11.25µm
net13,11.25µm
u_cas_diff.u_diff3.in_min1\[6\],11.25µm
_0261_,11.2µm
_0424_,11.2µm
_0450_,11.2µm
_0484_,11.2µm
_0626_,11.2µm
_0862_,11.2µm
_0957_,11.2µm
u_cas_diff.u_diff3.in_min1\[18\],11.2µm
in_cic,11.06µm
out_cic[2],10.82µm
out_cic[3],10.82µm
_0875_,10.79µm
_0023_,10.74µm
_0189_,10.74µm
_0238_,10.74µm
_0544_,10.74µm
_0779_,10.74µm
u_cas_diff.u_diff2.in_min1\[13\],10.74µm
_0015_,10.69µm
_0032_,10.69µm
_0071_,10.69µm
_0072_,10.69µm
_0083_,10.69µm
_0340_,10.69µm
_0353_,10.69µm
_0534_,10.69µm
_0776_,10.69µm
_0972_,10.69µm
u_cas_diff.u_diff3.in_min1\[0\],10.69µm
_0207_,10.64µm
_0598_,10.64µm
_0853_,10.64µm
_0217_,10.18µm
_0376_,10.18µm
_0012_,10.13µm
_0020_,10.13µm
_0022_,10.13µm
_0050_,10.13µm
_0119_,10.13µm
_0148_,10.13µm
_0161_,10.13µm
_0256_,10.13µm
_0775_,10.13µm
_1019_,10.13µm
_1029_,10.13µm
u_cas_diff.u_diff3.in_min1\[11\],10.13µm
u_cas_diff.u_diff3.in_min1\[2\],10.13µm
_0644_,10.08µm
_0881_,10.08µm
_0948_,10.08µm
_0951_,10.08µm
_0290_,9.67µm
_0416_,9.67µm
u_cas_diff.u_diff2.in_min1\[6\],9.67µm
_0336_,9.62µm
_0699_,9.62µm
_0709_,9.62µm
_0905_,9.62µm
_0966_,9.62µm
